roundid,holeid,hnum,shotid,stroke,startpos,holedis,shots_to_hole_out
113445,2037501,1,6677913,2,6,135,5
113445,2037513,13,6677965,3,6,30,4
113445,2037514,14,6677971,3,6,35,4
113445,2037518,18,6677991,3,6,80,3
96886,1739467,11,5616905,2,6,20,3
87288,1566698,6,5032937,2,6,148,4
88133,1581903,1,5085864,2,6,300,4
91785,1647643,5,5302790,2,6,210,4
91289,1638715,5,5273104,2,6,10,3
91534,1643123,3,5288183,2,6,105,3
91879,1649345,15,5308410,2,6,122,5
93453,1677667,5,5404686,2,6,200,4
93453,1677667,5,5404687,3,6,40,3
93453,1677670,8,5404699,2,6,116,4
92915,1667991,13,5372100,4,6,15,3
93089,1671113,3,5382074,3,6,150,3
93455,1677712,14,5404856,2,6,30,3
96982,1741198,14,5622872,4,6,20,4
97965,1758893,15,5685057,2,6,120,5
98583,1770012,10,5722995,3,6,30,4
98805,1774012,14,5737316,3,6,30,3
98805,1774016,18,5737334,3,6,15,3
99254,1782094,14,5765719,2,6,126,4
99293,1782788,6,5768208,3,6,55,3
99328,1783425,13,5770668,2,6,60,4
99885,1793440,2,5804899,2,6,100,4
99464,1785861,1,5778876,2,6,160,3
99687,1789877,3,5792162,2,6,260,3
99687,1789877,3,5792163,3,6,71,2
99931,1794277,11,5807495,3,6,104,3
100721,1808489,3,5857404,2,6,280,4
100721,1808501,15,5857453,3,6,43,3
100782,1809595,11,5861456,3,6,110,3
101345,1819730,12,5897589,2,6,176,3
101617,1824616,2,5914979,3,6,20,4
101617,1824619,5,5914993,3,6,20,3
104331,1873454,6,6090296,2,6,140,3
102412,1838927,3,5965259,3,6,40,2
103358,1855963,11,6027319,2,6,107,4
103358,1855963,11,6027320,3,6,40,3
103358,1855964,12,6027325,3,6,15,3
103358,1855969,17,6027343,2,6,136,3
105959,1902767,15,6193937,2,6,80,4
109267,1962299,3,6407389,4,6,60,3
108578,1949901,7,6364421,2,6,250,4
108062,1940611,5,6330834,4,6,47,4
108063,1940633,9,6330921,3,6,10,2
115810,2080071,1,6830139,3,6,15,4
115840,2080614,4,6832174,2,6,117,2
115840,2080615,5,6832177,2,6,155,4
122727,2204566,8,7257363,2,6,375,7
125771,2259356,6,7447838,2,6,145,3
123132,2211849,1,7281908,2,6,210,4
124097,2229229,11,7342788,4,6,15,3
124865,2243059,17,7390781,2,6,10,3
126572,2273775,7,7498637,2,6,170,3
125800,2259885,13,7449525,2,6,18,3
126376,2270248,8,7487254,3,6,30,3
126117,2265591,13,7470854,3,6,10,4
126432,2271264,16,7490457,2,6,74,3
126573,2273795,9,7498718,3,6,25,3
126573,2273796,10,7498724,4,6,10,3
126573,2273803,17,7498750,3,6,12,3
126643,2275064,18,7502444,2,6,100,3
127151,2284193,3,7534474,2,6,18,2
127151,2284202,12,7534511,2,6,200,4
126954,2280648,4,7521519,3,6,30,3
127227,2285561,3,7539420,2,6,15,1
127467,2289881,3,7555656,2,6,20,5
127467,2289890,12,7555696,2,6,171,3
127467,2289893,15,7555709,2,6,164,4
128166,2302464,4,7600743,2,6,345,4
128166,2302473,13,7600785,3,6,20,3
129114,2319535,11,7660655,3,6,100,4
129114,2319536,12,7660661,3,6,100,4
129301,2322891,1,7672091,2,6,107,4
129326,2323344,4,7673682,2,6,250,4
129355,2323865,3,7675662,3,6,10,4
129355,2323865,3,7675663,4,6,5,3
129634,2328885,1,7693452,2,6,240,1
130774,2349410,6,7765082,5,6,4,2
131695,2365988,6,7824295,2,6,133,5
131695,2365998,16,7824339,2,6,130,2
131762,2367194,6,7828390,2,6,135,4
131762,2367196,8,7828398,2,6,230,3
131739,2366778,4,7826884,3,6,175,3
131739,2366782,8,7826903,2,6,237,4
131739,2366783,9,7826908,2,6,210,4
131740,2366797,5,7826970,2,6,130,4
132898,2387640,4,7902881,4,6,14,4
132898,2387640,4,7902882,5,6,12,3
132898,2387641,5,7902887,3,6,25,4
132898,2387644,8,7902899,2,6,250,5
132898,2387652,16,7902940,2,6,98,3
132898,2387654,18,7902947,2,6,250,4
132898,2387654,18,7902948,3,6,170,3
