roundid,holeid,hnum,shotid,stroke,startpos,holedis,shots_to_hole_out
112044,2012284,2,6588994,2,2,135,3
112044,2012284,2,6588995,3,2,18,2
112044,2012287,5,6589005,2,2,300,4
112044,2012288,6,6589010,2,2,110,3
113445,2037501,1,6677914,3,2,25,4
113445,2037501,1,6677915,4,2,4,3
113445,2037505,5,6677929,2,2,184,5
113445,2037505,5,6677930,3,2,30,4
113445,2037507,7,6677940,3,2,15,3
113445,2037507,7,6677941,4,2,12,2
113445,2037508,8,6677944,2,2,130,3
113445,2037509,9,6677948,2,2,145,3
113445,2037510,10,6677952,2,2,56,4
113445,2037511,11,6677957,2,2,125,3
113445,2037513,13,6677964,2,2,185,5
113445,2037513,13,6677966,4,2,25,3
113445,2037514,14,6677970,2,2,190,5
113445,2037514,14,6677972,4,2,25,3
113445,2037516,16,6677980,2,2,155,4
113445,2037516,16,6677981,3,2,25,3
113445,2037517,17,6677986,3,2,20,3
113445,2037518,18,6677990,2,2,255,4
105119,1887633,1,6141882,3,2,15,3
105119,1887637,5,6141898,3,2,52,3
105119,1887638,6,6141902,2,2,125,2
105119,1887639,7,6141905,2,2,15,2
105119,1887644,12,6141923,2,2,45,2
105119,1887649,17,6141945,3,2,25,3
96886,1739458,2,5616871,3,2,12,1
96886,1739460,4,5616878,2,2,22,2
96886,1739461,5,5616882,3,2,18,2
96886,1739463,7,5616889,2,2,18,2
96886,1739464,8,5616893,3,2,20,2
96886,1739468,12,5616909,2,2,22,2
96886,1739470,14,5616916,2,2,250,4
96886,1739471,15,5616921,2,2,150,4
96886,1739474,18,5616933,2,2,125,3
86619,1554670,2,4993011,2,2,150,4
86619,1554670,2,4993012,3,2,25,3
86619,1554671,3,4993016,2,2,63,2
86619,1554673,5,4993022,2,2,210,3
86619,1554673,5,4993023,3,2,25,2
86619,1554675,7,4993030,2,2,220,4
86619,1554675,7,4993031,3,2,55,3
86619,1554676,8,4993036,3,2,240,4
86619,1554676,8,4993038,5,2,3,2
86619,1554677,9,4993041,2,2,104,2
86619,1554678,10,4993044,2,2,210,4
86619,1554679,11,4993049,2,2,85,3
86619,1554683,15,4993064,2,2,6,2
86619,1554684,16,4993067,2,2,4,3
86619,1554686,18,4993074,2,2,120,3
86619,1554686,18,4993075,3,2,6,2
87029,1562031,1,5016555,3,2,5,2
87029,1562032,2,5016558,2,2,150,4
87029,1562032,2,5016559,3,2,25,3
87029,1562033,3,5016563,2,2,63,2
87029,1562035,5,5016569,2,2,210,3
87029,1562035,5,5016570,3,2,25,2
87029,1562037,7,5016577,2,2,220,4
87029,1562037,7,5016578,3,2,55,3
87029,1562038,8,5016583,3,2,240,4
87029,1562038,8,5016585,5,2,3,2
87029,1562039,9,5016588,2,2,104,2
87029,1562040,10,5016591,2,2,210,4
87029,1562041,11,5016596,2,2,85,3
87029,1562045,15,5016611,2,2,6,2
87029,1562046,16,5016614,2,2,4,3
87029,1562048,18,5016621,2,2,120,3
87029,1562048,18,5016622,3,2,6,2
86913,1559943,1,5010461,3,2,185,3
86913,1559944,2,5010466,3,2,5,3
86913,1559944,2,5010467,4,2,3,2
86913,1559945,3,5010470,2,2,25,3
86913,1559946,4,5010474,2,2,11,1
86922,1560105,1,5010877,2,2,340,4
86922,1560106,2,5010883,3,2,5,2
86922,1560109,5,5010893,2,2,190,3
86922,1560112,8,5010908,3,2,15,3
86922,1560118,14,5010920,2,2,98,3
87125,1563760,2,5022480,2,2,173,4
87125,1563760,2,5022481,3,2,9,3
87125,1563763,5,5022491,2,2,180,3
87125,1563764,6,5022496,3,2,9,2
87140,1564038,10,5023382,2,2,175,4
87140,1564039,11,5023387,2,2,104,3
87140,1564040,12,5023391,2,2,175,4
87140,1564040,12,5023392,3,2,25,3
87140,1564042,14,5023399,2,2,60,3
87140,1564043,15,5023404,3,2,45,3
87140,1564043,15,5023405,4,2,20,2
