roundid,holeid,hnum,shotid,stroke,startpos,holedis,shots_to_hole_out
105119,1887637,5,6141897,2,3,175,4
105119,1887649,17,6141944,2,3,125,4
96886,1739459,3,5616874,2,3,25,3
86619,1554678,10,4993045,3,3,25,3
87029,1562040,10,5016592,3,3,25,3
86922,1560107,3,5010887,3,3,5,3
87288,1566698,6,5032938,3,3,22,3
87288,1566705,13,5032967,3,3,10,2
87360,1567993,5,5038073,2,3,20,2
88090,1581130,2,5082950,3,3,5,3
88090,1581146,18,5082993,3,3,5,3
88132,1581893,9,5085839,3,3,8,2
88432,1587287,3,5104493,3,3,24,2
88432,1587289,5,5104501,3,3,9,2
88432,1587297,13,5104531,2,3,121,3
88432,1587298,14,5104536,3,3,20,3
88432,1587299,15,5104540,2,3,18,3
88432,1587302,18,5104551,3,3,28,2
88441,1587453,7,5105047,3,3,15,3
88547,1589365,11,5111004,3,3,15,2
88992,1597367,3,5137974,3,3,20,3
88992,1597368,4,5137979,3,3,14,2
88992,1597369,5,5137983,3,3,28,2
88992,1597371,7,5137990,3,3,41,3
88992,1597372,8,5137994,2,3,88,3
88674,1591652,12,5118220,2,3,40,4
90320,1621271,3,5217078,2,3,25,2
90320,1621272,4,5217081,2,3,20,3
90320,1621282,14,5217119,2,3,350,5
90320,1621282,14,5217120,3,3,170,4
88803,1593967,5,5126009,2,3,125,4
88806,1594028,12,5126184,3,3,13,3
88880,1595353,5,5130784,4,3,10,3
89075,1598863,5,5142902,2,3,129,3
89075,1598863,5,5142903,3,3,10,2
89075,1598873,15,5142939,2,3,255,4
89075,1598876,18,5142953,2,3,238,3
89076,1598885,9,5142994,2,3,96,3
89076,1598888,12,5143008,3,3,25,3
89076,1598892,16,5143021,2,3,45,3
89076,1598894,18,5143028,2,3,150,4
89303,1602979,17,5157462,2,3,20,3
89368,1604137,5,5161422,3,3,15,2
89368,1604140,8,5161433,3,3,9,3
89502,1606561,17,5169135,2,3,20,3
90838,1630594,2,5247304,3,3,15,4
90838,1630594,2,5247305,4,3,13,3
90838,1630602,10,5247336,2,3,200,5
90838,1630602,10,5247338,4,3,15,3
90838,1630610,18,5247373,3,3,14,3
89999,1615491,1,5199181,2,3,256,4
89999,1615493,3,5199191,3,3,20,2
89999,1615495,5,5199198,2,3,151,4
89999,1615498,8,5199210,2,3,25,3
89999,1615500,10,5199217,2,3,138,4
89999,1615502,12,5199226,2,3,154,3
89999,1615507,17,5199246,2,3,125,3
90011,1615707,1,5199664,2,3,160,3
90011,1615707,1,5199665,3,3,14,2
90011,1615710,4,5199677,3,3,8,2
90011,1615711,5,5199681,3,3,18,3
90011,1615718,12,5199709,2,3,20,3
90043,1616297,15,5201683,2,3,20,3
90043,1616298,16,5201688,3,3,65,3
90567,1625723,9,5231822,3,3,32,2
91042,1634271,7,5259501,4,3,12,3
91042,1634276,12,5259522,2,3,12,2
90841,1630664,18,5247459,2,3,135,3
90842,1630682,18,5247495,3,3,25,3
91785,1647641,3,5302783,3,3,20,2
91785,1647649,11,5302816,2,3,260,4
91082,1635001,17,5261838,2,3,15,3
91082,1635002,18,5261843,3,3,10,2
91289,1638725,15,5273147,3,3,12,4
91787,1647677,3,5302902,3,3,8,3
91787,1647678,4,5302906,2,3,19,2
