roundid,holeid,hnum,shotid,stroke,startpos,holedis,shots_to_hole_out
112044,2012283,1,6588988,1,0,550,5
112044,2012284,2,6588993,1,0,375,4
112044,2012285,3,6588997,1,0,290,3
112044,2012286,4,6589000,1,0,155,4
112044,2012287,5,6589004,1,0,440,5
112044,2012288,6,6589009,1,0,400,4
112044,2012289,7,6589013,1,0,500,3
112044,2012290,8,6589016,1,0,520,3
112044,2012291,9,6589019,1,0,360,5
113445,2037501,1,6677912,1,0,377,6
113445,2037502,2,6677918,1,0,400,3
113445,2037503,3,6677921,1,0,375,4
113445,2037504,4,6677925,1,0,190,3
113445,2037505,5,6677928,1,0,500,6
113445,2037506,6,6677934,1,0,390,4
113445,2037507,7,6677938,1,0,150,5
113445,2037508,8,6677943,1,0,415,4
113445,2037509,9,6677947,1,0,475,4
113445,2037510,10,6677951,1,0,380,5
113445,2037511,11,6677956,1,0,405,4
113445,2037512,12,6677960,1,0,350,3
113445,2037513,13,6677963,1,0,355,6
113445,2037514,14,6677969,1,0,495,6
113445,2037516,16,6677979,1,0,445,5
113445,2037517,17,6677984,1,0,170,5
113445,2037518,18,6677989,1,0,575,5
105119,1887633,1,6141880,1,0,430,5
105119,1887634,2,6141885,1,0,465,4
105119,1887635,3,6141889,1,0,340,1
105119,1887636,4,6141893,1,0,206,3
105119,1887637,5,6141896,1,0,491,5
105119,1887638,6,6141901,1,0,491,3
105119,1887639,7,6141904,1,0,153,3
105119,1887640,8,6141907,1,0,475,4
105119,1887641,9,6141911,1,0,453,4
105119,1887642,10,6141915,1,0,434,4
105119,1887643,11,6141919,1,0,165,3
105119,1887644,12,6141922,1,0,285,3
105119,1887645,13,6141925,1,0,392,4
105119,1887646,14,6141929,1,0,580,6
105119,1887646,14,6141930,2,0,280,5
105119,1887647,15,6141935,1,0,424,4
105119,1887648,16,6141939,1,0,216,4
105119,1887649,17,6141943,1,0,396,5
105119,1887650,18,6141948,1,0,434,1
96886,1739457,1,5616865,1,0,430,2
96886,1739458,2,5616869,1,0,465,3
96886,1739459,3,5616873,1,0,313,4
