roundid,holeid,hnum,shotid,stroke,startpos,holedis,shots_to_hole_out,holedis_yards
112044,2012283,1,6588991,4,4,16,2,5.333333333333333
112044,2012283,1,6588992,5,4,1,1,0.3333333333333333
112044,2012284,2,6588996,4,4,4,1,1.3333333333333333
112044,2012285,3,6588998,2,4,14,2,4.666666666666667
112044,2012285,3,6588999,3,4,1,1,0.3333333333333333
112044,2012286,4,6589001,2,4,16,3,5.333333333333333
112044,2012286,4,6589002,3,4,7,2,2.3333333333333335
112044,2012286,4,6589003,4,4,1,1,0.3333333333333333
112044,2012287,5,6589007,4,4,9,2,3.0
112044,2012287,5,6589008,5,4,1,1,0.3333333333333333
112044,2012288,6,6589012,4,4,2,1,0.6666666666666666
112044,2012289,7,6589015,3,4,18,1,6.0
112044,2012290,8,6589018,3,4,22,1,7.333333333333333
112044,2012291,9,6589021,3,4,60,3,20.0
112044,2012291,9,6589022,4,4,8,2,2.6666666666666665
112044,2012291,9,6589023,5,4,1,1,0.3333333333333333
113445,2037501,1,6677916,5,4,3,2,1.0
113445,2037501,1,6677917,6,4,1,1,0.3333333333333333
113445,2037502,2,6677920,3,4,25,1,8.333333333333334
113445,2037503,3,6677923,3,4,5,2,1.6666666666666667
113445,2037503,3,6677924,4,4,1,1,0.3333333333333333
113445,2037504,4,6677926,2,4,14,2,4.666666666666667
113445,2037504,4,6677927,3,4,1,1,0.3333333333333333
113445,2037505,5,6677931,4,4,42,3,14.0
113445,2037505,5,6677932,5,4,6,2,2.0
113445,2037505,5,6677933,6,4,1,1,0.3333333333333333
113445,2037506,6,6677936,3,4,20,2,6.666666666666667
113445,2037506,6,6677937,4,4,1,1,0.3333333333333333
113445,2037507,7,6677942,5,4,2,1,0.6666666666666666
113445,2037508,8,6677945,3,4,18,2,6.0
113445,2037508,8,6677946,4,4,1,1,0.3333333333333333
113445,2037509,9,6677949,3,4,28,2,9.333333333333334
113445,2037509,9,6677950,4,4,1,1,0.3333333333333333
113445,2037510,10,6677954,4,4,5,2,1.6666666666666667
113445,2037510,10,6677955,5,4,1,1,0.3333333333333333
113445,2037511,11,6677959,4,4,12,1,4.0
113445,2037512,12,6677962,3,4,3,1,1.0
113445,2037513,13,6677967,5,4,15,2,5.0
113445,2037513,13,6677968,6,4,1,1,0.3333333333333333
113445,2037514,14,6677973,5,4,6,2,2.0
113445,2037514,14,6677974,6,4,1,1,0.3333333333333333
113445,2037516,16,6677982,4,4,12,2,4.0
113445,2037516,16,6677983,5,4,1,1,0.3333333333333333
113445,2037517,17,6677987,4,4,15,2,5.0
113445,2037517,17,6677988,5,4,1,1,0.3333333333333333
113445,2037518,18,6677993,5,4,5,1,1.6666666666666667
105119,1887633,1,6141883,4,4,3,2,1.0
105119,1887633,1,6141884,5,4,1,1,0.3333333333333333
105119,1887634,2,6141888,4,4,5,1,1.6666666666666667
105119,1887636,4,6141894,2,4,35,2,11.666666666666666
