WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((8.049823087491404 296.5279530272062, 8.587044623234258 281.78181251322144, 7.072340572260153 269.92114197467004, 3.4811888169903558 268.48793304291917, -1.9676231992632691 274.04938889318487, -7.122295814708116 288.10666998347983, -12.749112156497354 312.2353119760794, -16.35684761230901 320.6640874613606, -15.866669572447185 333.86428356698957, -14.286220799935297 345.33762561339586, -9.429649110952544 357.75195390383374, -7.052669474745359 369.8123115857345, -3.2111579339235323 382.88619750007797, 0.2542422901041311 389.01724599719614, 5.2669054455402895 395.2768646627226, 9.195533659261848 411.4861133719512, 9.51045493223216 422.824457854648, 10.495660731413803 433.702724041749, 13.579509839988896 447.7328890979845, 23.764194572228337 467.59137307680135, 31.62158622695883 476.15568792663794, 36.898144122380316 487.30324045172324, 41.41957508397288 499.224937846883, 41.16485116662408 513.187340638184, 34.875473584003146 522.0475160609442, 30.05679915400497 530.7553562791202, 25.417109443445465 536.7218976011566, 23.916816246410058 543.3351528859623, 25.4616082194696 553.0344967476947, 25.55657418359726 560.6639336080354, 24.51750209125891 567.383715916925, 23.920209205742836 577.0517280826255, 24.206828164246904 585.3652149496463, 29.8006215508204 592.5111202016376, 34.66438791033256 599.3507110899361, 39.52883962343296 601.8057125791313, 43.158023863545466 600.5069074543269, 44.03467649696732 595.3384801414575, 45.851273968448794 585.5130301930819, 45.323063440885775 575.0448481474598, 42.60045072181404 569.0260415664432, 38.967052941493144 564.8470434623084, 37.24647559097958 563.4396554374882, 33.9008154603549 558.1005087866185, 34.676069645646834 550.1000716916167, 40.930709356939055 544.4578058209925, 47.25320824202376 537.553762852998, 53.12547318412761 529.7539443577637, 57.57409998094035 523.7835250751357, 59.61817627642938 516.4039810376983, 60.33850387029168 508.013766213827, 57.99296442189749 493.69494357381313, 54.226568192606216 484.61852266934443, 48.96053031268862 453.92872736927643, 49.20123368794289 436.638113947821, 45.78014169402219 417.20840625174674, 38.89348044446578 391.6597923493248, 33.78603879795893 369.08655401750025, 29.734375875891146 351.5995079698939, 21.276098610384796 333.45217323620886, 15.161522939883856 319.6398456689178, 9.16457291053121 307.49386854792306, 8.049823087491404 296.5279530272062), (31.465500906225824 558.9012798458236, 34.340735299479284 561.1823037728743, 35.98922764740965 564.1550260090082, 40.30693356746737 569.7568163598237, 43.60163784803785 575.1435116333062, 43.85108178118493 580.3469407894852, 43.37556968124783 584.8797870383362, 41.72038054331932 591.7813956111956, 40.201416853516875 596.1230231411639, 36.91743235437728 596.4693231797366, 32.27142694708321 592.0511495282733, 27.94383411791101 586.4370127872223, 26.123465669551866 581.3595932318242, 26.01558249022084 568.1550107652367, 26.036210695075322 563.7829718575597, 27.739220881142245 560.6717971462729, 29.60776995802349 559.3979853872668, 31.465500906225824 558.9012798458236)))",14.0,r16389485,16389485,relation,fairway,multipolygon,fairway,Fairways,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((29.217084898544503 491.3619030223697, 29.64778166926276 500.1641428240771, 27.7898724680133 505.00901090784396, 24.15882271591173 509.3320613343974, 17.94432379599651 514.2585447207227, 14.333727067133259 517.112378700948, 11.81102845981914 521.3000307804793, 9.70340487227709 528.9090536094307, 8.019059033256807 537.1825362495849, 5.182600871353526 540.0642284589605, -0.7166018280482087 538.9606907195196, -3.125879112983348 535.0008697596775, -4.815179165859283 528.4564788917589, -4.30476630441811 523.5842609809345, -1.3145892871623535 517.6085313069018, 4.506215781494104 508.4473481997304, 4.488568708389879 501.76684647632896, 5.1581924653238165 494.12863689061965, 6.925011175150192 487.15641974663754, 9.343855743144907 482.4808311423601, 12.296593427618564 478.4719474848191, 16.228808220879507 477.082127180023, 20.585228906507975 477.01265416305773, 24.027314831387248 479.0379776031739, 25.98771043906908 482.00488475448196, 28.052888235633024 486.1156159054383, 29.217084898544503 491.3619030223697)))",18.0,w461968112,461968112,way,water_hazard,multipolygon,water_hazard,Fairways,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-25.054134848407294 318.2406032174015, -21.465002273862847 315.48349930745985, -16.060882652410726 305.18430728546605, -12.610655470278134 293.6187402831581, -9.147160712568324 281.8226739730278, -1.8896957904489824 267.00645555584856, 4.688937670631301 258.3221911125213, 14.73038360869336 240.7811096702892, 20.657151024632753 234.1240946583946, 19.025383751681254 234.2853064950043, 14.248377558974568 239.27740348968996, 3.667205319641549 257.29335885102614, -2.3826890018839757 266.2919978835828, -9.611845462387432 281.242393742408, -13.17615473474716 293.77730249052433, -16.470975804014575 303.57274926702416, -22.36690847707163 314.51782771065496, -26.226368277032908 317.18442483924605, -25.054134848407294 318.2406032174015)))",22.0,w1211388837,1211388837,way,water_hazard,multipolygon,water_hazard,Fairways,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((2.7574590452146786 9.052905525396682, 4.817406029057056 9.20402724194787, 4.9262634537122665 1.3843958911559184, 5.304688991546605 -7.012758440506559, 0.6593566421122524 -10.03416114646484, -4.118909617652843 -8.564347231250622, -5.222374164372185 -1.5543747046069711, -5.229070952941089 8.319956102660626, -2.3661698428402222 8.596686636680033, 0.7370596992594571 8.951169357707158, 2.7574590452146786 9.052905525396682)))",23.0,w1208043335,1208043335,way,tee,multipolygon,tee,Greens and bunks,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((21.661620470071288 286.2496017961473, 21.28481150681885 289.4727141243595, 23.003772287038228 296.05414415435575, 20.572333204184485 302.3570030119606, 15.465856584421216 302.83635235709085, 12.685520540937112 300.2414659584781, 11.64436472923378 293.3822960076202, 13.45892457997022 288.03857373446476, 14.127527991530783 283.3638980311673, 12.56894905091211 279.71284067691954, 13.120516900524791 274.05198656996276, 16.963411441393127 272.57533334149116, 18.348254915314367 274.25525850937106, 19.006104739694123 279.74632844514304, 21.661620470071288 286.2496017961473)))",27.0,w1208043340,1208043340,way,bunker,multipolygon,bunker,Greens and bunks,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((31.465500906225824 558.9012798458236, 34.340735299479284 561.1823037728743, 35.98922764740965 564.1550260090082, 40.30693356746737 569.7568163598237, 43.60163784803785 575.1435116333062, 43.85108178118493 580.3469407894852, 43.37556968124783 584.8797870383362, 41.72038054331932 591.7813956111956, 40.201416853516875 596.1230231411639, 36.91743235437728 596.4693231797366, 32.27142694708321 592.0511495282733, 27.94383411791101 586.4370127872223, 26.123465669551866 581.3595932318242, 26.01558249022084 568.1550107652367, 26.036210695075322 563.7829718575597, 27.739220881142245 560.6717971462729, 29.60776995802349 559.3979853872668, 31.465500906225824 558.9012798458236)))",28.0,w1208043342,1208043342,way,green,multipolygon,green,Greens and bunks,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((46.922680586695975 553.3486301196797, 44.96057927862329 557.7298462498868, 42.49999271325838 561.0685589163302, 39.92178050674517 562.7409211330257, 38.31342895019181 559.0524164091414, 37.6950376393195 555.7848132968445, 39.74662823282208 551.4782878029939, 43.57913183832427 548.5803749566401, 45.50454677870292 549.7247147826272, 45.884469028132784 552.7810005784715, 46.922680586695975 553.3486301196797)))",29.0,w1208043343,1208043343,way,bunker,multipolygon,bunker,Greens and bunks,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((25.937117245117257 589.6877718191479, 25.067225943191644 594.3705077445304, 22.693009232788036 594.3951930973037, 19.979515090583234 592.0567234027578, 17.205860469937797 586.8142066259122, 16.83025625368474 579.8349423536331, 20.33115960842846 580.5254308919837, 21.19842321326711 579.6442505957327, 22.393469984791167 581.9519007084625, 25.860981588213324 588.6538406899592, 25.937117245117257 589.6877718191479)))",30.0,w1208043344,1208043344,way,bunker,multipolygon,bunker,Greens and bunks,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-3.2813651330768643 17.978894952487963, -3.570491931398471 36.58026281261641, 4.355281364825082 36.61967328444575, 4.513342837665208 18.039936650685604, -3.2813651330768643 17.978894952487963)))",124.0,w1211388835,1211388835,way,tee,multipolygon,tee,Greens and bunks,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-2.929886573979492 44.755185875307006, -3.005475180301239 64.63618800178779, 3.8262287449358214 64.50764380961232, 4.09735810835011 45.031419140151456, -2.929886573979492 44.755185875307006)))",125.0,w1211388836,1211388836,way,tee,multipolygon,tee,Greens and bunks,15,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
