WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((-117.7789667 34.0803143,-117.7789076 34.0804048,-117.7788165 34.0805245,-117.7787312 34.0806046,-117.7785502 34.0806499,-117.7784125 34.0807036,-117.7782396 34.0807705,-117.7780768 34.0808638,-117.7779335 34.080943,-117.7777992 34.0810071,-117.7776899 34.0810627,-117.7775944 34.0811428,-117.7775238 34.0811796,-117.7774658 34.0812107,-117.7772917 34.0811928,-117.7771517 34.0811871,-117.7769753 34.0812229,-117.7767272 34.0812531,-117.7765611 34.0812936,-117.7764689 34.0813511,-117.7764655 34.0814274,-117.7764848 34.0814661,-117.776536 34.0815094,-117.7766373 34.0815292,-117.7767875 34.0815339,-117.7769799 34.0815387,-117.7771005 34.0815302,-117.7772666 34.0815339,-117.7773986 34.0815189,-117.777501 34.0814991,-117.7775852 34.081468,-117.7776399 34.0814416,-117.7777707 34.0813935,-117.777938 34.0812964,-117.7780996 34.0812163,-117.7782532 34.0811277,-117.7784046 34.0810476,-117.7785741 34.0809637,-117.7788006 34.0808365,-117.7789326 34.0807328,-117.7789861 34.0806829,-117.7791283 34.0806338,-117.7793241 34.0804896,-117.7794242 34.0804029,-117.7795699 34.0802832,-117.7796017 34.0801814,-117.7796142 34.0800919,-117.7796438 34.080058,-117.7797076 34.0800702,-117.7797546 34.080063,-117.7797781 34.080058,-117.7798669 34.0800052,-117.7798952 34.079968,-117.7799044 34.079926,-117.7798718 34.079873,-117.7798168 34.079844,-117.7797577 34.0798385,-117.7797007 34.0798516,-117.7796313 34.0799458,-117.7795983 34.0800184,-117.7794504 34.0800438,-117.7793787 34.0800617,-117.7791795 34.0801287,-117.7790396 34.0802531,-117.7789667 34.0803143),(-117.7796388 34.0800327,-117.7796287 34.0800181,-117.7796491 34.0799456,-117.7796924 34.0798885,-117.7797218 34.0798657,-117.7797732 34.0798579,-117.7798074 34.0798556,-117.7798369 34.0798768,-117.7798754 34.0799148,-117.7798812 34.0799362,-117.7798662 34.0799682,-117.7798514 34.079996,-117.779817 34.08002,-117.7797893 34.0800394,-117.7797537 34.0800566,-117.7797114 34.0800622,-117.779685 34.0800558,-117.7796388 34.0800327)))","1",r16389190,"16389190",relation,fairway,multipolygon,fairway,Fairways,"1","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.7825217 34.0816139,-117.7825877 34.0816153,-117.7826872 34.0816658,-117.7826724 34.0817044,-117.7825991 34.0817727,-117.7825262 34.0818463,-117.7824659 34.0819283,-117.7824153 34.0820046,-117.7824033 34.0820729,-117.782343 34.0821545,-117.7823106 34.082228,-117.7822304 34.0823062,-117.7821399 34.0823693,-117.7820836 34.0824052,-117.782013 34.0824669,-117.7819595 34.0825088,-117.7819237 34.0825286,-117.7818207 34.0825352,-117.7817564 34.0825409,-117.7817063 34.0825885,-117.7816591 34.0826535,-117.7816267 34.0826945,-117.78158 34.0827228,-117.7815146 34.0827397,-117.7814605 34.0827402,-117.7814053 34.0827713,-117.7814059 34.0828067,-117.7813393 34.0828486,-117.7812198 34.0829014,-117.7811089 34.0829702,-117.7810361 34.0829872,-117.7809934 34.0829928,-117.7809416 34.0830263,-117.7809399 34.0830842,-117.7809518 34.083153,-117.780949 34.0832261,-117.7809279 34.0832449,-117.7808625 34.0832511,-117.7807999 34.0832214,-117.7807732 34.083146,-117.7807482 34.0830715,-117.7807749 34.0829791,-117.7808289 34.0829334,-117.7808944 34.0829334,-117.7809319 34.0829028,-117.7809627 34.082834,-117.7809763 34.0828104,-117.7809894 34.0827954,-117.7810503 34.082761,-117.78111 34.0827223,-117.7811476 34.0826851,-117.7811817 34.0826719,-117.7812568 34.0826069,-117.781304 34.0825574,-117.7813769 34.0825503,-117.7814463 34.082514,-117.7815134 34.0824528,-117.7815635 34.0823901,-117.7816102 34.0823364,-117.7816369 34.0823034,-117.7817177 34.082276,-117.7817843 34.0822968,-117.7818474 34.0822987,-117.7819436 34.0822492,-117.7820335 34.0821375,-117.782087 34.082047,-117.7821171 34.0819702,-117.782157 34.0818877,-117.7822696 34.0817949,-117.7823919 34.0817002,-117.7825126 34.0816139,-117.7825217 34.0816139),(-117.7809075 34.0829711,-117.7808523 34.0829523,-117.7808164 34.0829723,-117.7807978 34.0830081,-117.7807879 34.0830389,-117.7807855 34.0830673,-117.7807871 34.0831047,-117.7807956 34.0831501,-117.7808093 34.0831841,-117.7808285 34.083208,-117.7808491 34.0832273,-117.7808893 34.083243,-117.7809189 34.0832371,-117.7809378 34.0832127,-117.7809291 34.0831361,-117.7809297 34.0830498,-117.7809234 34.0830018,-117.7809075 34.0829711)))","2",r16389191,"16389191",relation,fairway,multipolygon,fairway,Fairways,"3","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.7784221 34.0845154,-117.778406 34.0845673,-117.7783569 34.084596,-117.7782773 34.0846073,-117.7782207 34.0846285,-117.7781936 34.0846387,-117.7780962 34.0846833,-117.7780874 34.0847479,-117.77813 34.0847913,-117.7781984 34.0848326,-117.77827 34.0848419,-117.7783449 34.0847946,-117.7783859 34.0847333,-117.7784302 34.0846626,-117.7786217 34.0845947,-117.7786885 34.084522,-117.7787721 34.0844461,-117.7788357 34.0844087,-117.7788759 34.0843761,-117.7787536 34.0843088,-117.7786539 34.0842874,-117.7784744 34.0844141,-117.7784044 34.0844614,-117.7784221 34.0845154),(-117.7783974 34.0846282,-117.7783974 34.0846781,-117.7783632 34.0847338,-117.7783246 34.0847918,-117.7782783 34.0848118,-117.7782244 34.0848174,-117.7781745 34.0848004,-117.7781238 34.0847651,-117.7781057 34.0847268,-117.7781134 34.0846918,-117.7781697 34.0846645,-117.7782224 34.0846362,-117.7782904 34.0846122,-117.7783483 34.0846018,-117.7783842 34.0846085,-117.7783974 34.0846282)))","3",r16389192,"16389192",relation,fairway,multipolygon,fairway,Fairways,"4","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.7780356 34.0836893,-117.7780526 34.083775,-117.7781391 34.083857,-117.7782734 34.0838401,-117.77832 34.0837599,-117.7783599 34.0836742,-117.7784054 34.0835667,-117.7784384 34.0834291,-117.7784612 34.0833066,-117.7784714 34.0832086,-117.7784805 34.0831341,-117.7785727 34.0830568,-117.7787661 34.0829013,-117.7788629 34.0828099,-117.7789755 34.0826893,-117.7790609 34.0825554,-117.7791018 34.082465,-117.7791565 34.0823792,-117.7792464 34.0822717,-117.779334 34.0821737,-117.7794239 34.0820484,-117.7794922 34.0819626,-117.7795752 34.0818947,-117.7796185 34.0817948,-117.7796651 34.0816902,-117.7797402 34.0816205,-117.7798012 34.0815548,-117.7798085 34.081547,-117.7798461 34.0815093,-117.7798028 34.0814423,-117.7796492 34.0814339,-117.7795718 34.0814895,-117.7795559 34.0815639,-117.7795809 34.081661,-117.7795365 34.0816987,-117.7793294 34.0817402,-117.7792213 34.0818288,-117.7792031 34.0819174,-117.7791667 34.0820569,-117.7788412 34.0822435,-117.7787548 34.0824112,-117.7784338 34.0826553,-117.7784054 34.0827458,-117.7782529 34.0830257,-117.7781243 34.0831558,-117.7780856 34.0832519,-117.778122 34.0833622,-117.7781448 34.0835064,-117.778089 34.0836157,-117.7780356 34.0836893),(-117.7796747 34.0816592,-117.7796428 34.0816648,-117.779591 34.0816427,-117.7795734 34.0815852,-117.7795774 34.0815296,-117.7795916 34.0814886,-117.7796473 34.0814429,-117.7797503 34.0814499,-117.7797993 34.0814617,-117.7798153 34.0814772,-117.77983 34.0815032,-117.7797973 34.0815467,-117.7797617 34.0815795,-117.7797173 34.0816257,-117.7796747 34.0816592)))","4",r16389193,"16389193",relation,fairway,multipolygon,fairway,Fairways,"5","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.7798579 34.0819146,-117.7796841 34.0820425,-117.7796069 34.0821505,-117.7795554 34.0822758,-117.7795698 34.0823971,-117.7795855 34.0824744,-117.7795658 34.082515,-117.7795437 34.0825347,-117.7794906 34.0825467,-117.7794025 34.0825707,-117.7793743 34.0825883,-117.7793184 34.0826233,-117.7793067 34.08268,-117.7793192 34.0827253,-117.7793554 34.082751,-117.779396 34.0827616,-117.7794528 34.082759,-117.7795107 34.0827253,-117.7795538 34.0826977,-117.7795819 34.0826343,-117.7795787 34.082612,-117.7796495 34.0825424,-117.779699 34.0824844,-117.7797308 34.0823811,-117.7797497 34.0822628,-117.7798016 34.0821498,-117.7798539 34.0820505,-117.7798945 34.0819932,-117.7798978 34.0819556,-117.7798579 34.0819146),(-117.7795574 34.0826123,-117.779554 34.0826518,-117.7795296 34.0826886,-117.7794766 34.0827207,-117.7794454 34.0827419,-117.779393 34.0827456,-117.7793543 34.0827235,-117.7793361 34.0826919,-117.7793264 34.0826613,-117.7793469 34.0826269,-117.77938 34.0825906,-117.7794345 34.0825713,-117.7794829 34.0825581,-117.7795341 34.0825628,-117.7795574 34.0826123)))","5",r16389194,"16389194",relation,fairway,multipolygon,fairway,Fairways,"6","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.7804676 34.0823994,-117.7804016 34.0824781,-117.7803316 34.0825167,-117.7802608 34.082532,-117.7801771 34.0824754,-117.7801489 34.0824021,-117.780202 34.0823161,-117.7802592 34.0822288,-117.7803493 34.0821215,-117.7803919 34.0820142,-117.7804603 34.0819442,-117.7805537 34.0818916,-117.7806663 34.0818196,-117.7807605 34.0817576,-117.7809463 34.081699,-117.7810743 34.0816717,-117.7811411 34.0816137,-117.781261 34.0815444,-117.7814533 34.0814411,-117.7816102 34.0813904,-117.7817108 34.0813744,-117.781924 34.0813411,-117.7820157 34.0813411,-117.7820986 34.0813231,-117.7821702 34.0813144,-117.7822225 34.0813104,-117.7822764 34.0812944,-117.7823352 34.0812578,-117.7823613 34.0812481,-117.7824052 34.0812318,-117.7824599 34.0812291,-117.7825098 34.0812598,-117.7825323 34.0813091,-117.7825233 34.0813533,-117.7825186 34.0813764,-117.7824543 34.0814097,-117.7823601 34.0814331,-117.782274 34.0814257,-117.7821847 34.0814517,-117.7820777 34.081551,-117.7820004 34.0816137,-117.7819135 34.0816836,-117.7818057 34.0817303,-117.781681 34.0817556,-117.7815088 34.081779,-117.7813141 34.0818489,-117.7810711 34.0818902,-117.7807878 34.0821548,-117.780651 34.0822328,-117.7805561 34.0823021,-117.7804676 34.0823994),(-117.7822455 34.0813352,-117.7822431 34.0813618,-117.7822663 34.0813977,-117.7823123 34.0814132,-117.7823992 34.0814105,-117.7824756 34.0813852,-117.7825034 34.0813638,-117.782517 34.081336,-117.7825094 34.0812825,-117.782484 34.0812526,-117.7824483 34.0812365,-117.78239 34.0812455,-117.7823282 34.0812699,-117.7822632 34.0813059,-117.7822455 34.0813352)))","6",r16389195,"16389195",relation,fairway,multipolygon,fairway,Fairways,"7","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.7773467 34.0821285,-117.7773285 34.0821365,-117.7772449 34.0821365,-117.7771766 34.0821638,-117.7771225 34.0821813,-117.7770793 34.0822034,-117.7770486 34.0822312,-117.777056 34.0822746,-117.7770759 34.0823104,-117.7771396 34.0823589,-117.7771811 34.082374,-117.7772306 34.0823632,-117.7772705 34.0823274,-117.7773006 34.0822982,-117.7773427 34.0822581,-117.7773604 34.0822209,-117.7773962 34.0822228,-117.7775177 34.0822147,-117.7775949 34.0821807,-117.777669 34.0821533,-117.7777366 34.0821207,-117.7778178 34.0820854,-117.7778975 34.0820394,-117.7779434 34.0820021,-117.7779699 34.0819427,-117.777978 34.0818854,-117.7779876 34.0817901,-117.7779248 34.0817515,-117.7778508 34.0818035,-117.7777977 34.0818188,-117.7776835 34.0818374,-117.7775732 34.0818668,-117.7774686 34.0819108,-117.777393 34.0820327,-117.7773467 34.0821285),(-117.7773439 34.0822204,-117.7773268 34.0822652,-117.7772796 34.0822911,-117.7772517 34.082317,-117.7772238 34.0823495,-117.7771857 34.0823618,-117.7771316 34.0823302,-117.7770867 34.0822944,-117.7770633 34.0822638,-117.7770611 34.0822294,-117.7770878 34.08221,-117.7771424 34.0821879,-117.7771806 34.0821742,-117.7772175 34.082153,-117.777279 34.0821436,-117.7773376 34.0821516,-117.7773439 34.0822204)))","7",r16389196,"16389196",relation,fairway,multipolygon,fairway,Fairways,"8","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.7757653 34.0819683,-117.7756544 34.081973,-117.7755997 34.0820258,-117.7756009 34.0820786,-117.7756362 34.0821233,-117.7756942 34.0821591,-117.7757517 34.0822034,-117.7758694 34.0822133,-117.7759235 34.0822491,-117.7759815 34.0823024,-117.7760929 34.08234,-117.7762078 34.082357,-117.7763626 34.0823523,-117.776523 34.0823287,-117.7765526 34.0822561,-117.7765241 34.0821958,-117.7763842 34.0822099,-117.7762271 34.0822222,-117.7760712 34.0822326,-117.7760155 34.0822081,-117.7759301 34.0821129,-117.775896 34.0820309,-117.7758345 34.0819809,-117.7757653 34.0819683),(-117.7758717 34.0821832,-117.775833 34.0822001,-117.7757784 34.0821954,-117.7757323 34.0821662,-117.7756697 34.0821332,-117.77561 34.082063,-117.7756293 34.0820277,-117.7756544 34.0819933,-117.7757443 34.0819909,-117.7758683 34.08203,-117.7759036 34.0820856,-117.7759138 34.0821243,-117.7758717 34.0821832)))","8",r16389197,"16389197",relation,fairway,multipolygon,fairway,Fairways,"9","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.7766633 34.0852547,-117.7766859 34.085287,-117.7766834 34.0853343,-117.7766963 34.0854009,-117.7767293 34.0854406,-117.7767619 34.0854659,-117.7768009 34.0854806,-117.7768737 34.0854619,-117.776914 34.0854303,-117.7769317 34.0853906,-117.7769289 34.0853416,-117.7769075 34.0852846,-117.7768323 34.0852463,-117.7767796 34.0852303,-117.7767249 34.085158,-117.7766808 34.0850631,-117.7766352 34.0849745,-117.7765783 34.084835,-117.776501 34.0848001,-117.7764008 34.084769,-117.7763849 34.0847002,-117.7764577 34.0846182,-117.7764998 34.0845296,-117.776501 34.0844665,-117.7764156 34.0844561,-117.7763155 34.0843911,-117.776237 34.0842752,-117.7761527 34.08418,-117.776155 34.0840688,-117.7761345 34.0839641,-117.7761254 34.0838133,-117.776076 34.0837105,-117.7758862 34.0836033,-117.775621 34.0835156,-117.7755462 34.0835438,-117.7754848 34.0835796,-117.7754836 34.0836399,-117.7755405 34.0837266,-117.7755951 34.0838331,-117.7756543 34.0839387,-117.7757294 34.0840574,-117.7758478 34.0841517,-117.7759001 34.0842902,-117.776015 34.0843487,-117.7761641 34.0844335,-117.7762176 34.0845541,-117.7761914 34.084736,-117.776221 34.084834,-117.7762836 34.0849226,-117.7763246 34.085031,-117.7763815 34.0851319,-117.7764725 34.085162,-117.7766633 34.0852547),(-117.7767733 34.0852554,-117.7767122 34.0852794,-117.7766912 34.0853374,-117.7767081 34.08539,-117.7767323 34.0854273,-117.7767757 34.0854653,-117.7768385 34.0854646,-117.7768876 34.0854447,-117.7769124 34.0854065,-117.7769125 34.085376,-117.7768964 34.0853111,-117.7768667 34.0852852,-117.7768504 34.0852681,-117.7768143 34.0852521,-117.7767733 34.0852554)))","9",r16389480,"16389480",relation,fairway,multipolygon,fairway,Fairways,"10","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.7803736 34.0840328,-117.7803978 34.0839651,-117.7803841 34.0838818,-117.7803547 34.0838239,-117.7802598 34.0837855,-117.7801781 34.0838045,-117.7801258 34.0838382,-117.7801182 34.0838915,-117.7801463 34.0839368,-117.7801866 34.0839868,-117.7802208 34.0840191,-117.7802558 34.0840474,-117.7802871 34.0840714,-117.7803137 34.0841118,-117.7802992 34.0841457,-117.7802401 34.0841701,-117.78016 34.0841881,-117.780119 34.084246,-117.7801061 34.0843253,-117.7800869 34.0844024,-117.780038 34.0845249,-117.7799447 34.0846805,-117.779947 34.084835,-117.7798559 34.0849227,-117.7796477 34.0850584,-117.7795157 34.0851517,-117.779279 34.0853449,-117.7791094 34.0854354,-117.7789376 34.0855475,-117.7787783 34.0856182,-117.7786246 34.0856503,-117.7783732 34.085655,-117.7780818 34.0856634,-117.7776836 34.0856512,-117.7775698 34.0856465,-117.7773422 34.0856568,-117.7771601 34.0856399,-117.7769279 34.0856295,-117.7768483 34.085703,-117.7768631 34.0857954,-117.7769905 34.0858265,-117.7772523 34.0857813,-117.7774564 34.0857518,-117.7777655 34.085802,-117.777968 34.0858463,-117.7780864 34.0858981,-117.7782969 34.0859792,-117.7785086 34.086014,-117.7787009 34.085999,-117.7787797 34.0859623,-117.7788738 34.0859266,-117.7790025 34.0858849,-117.779046 34.085898,-117.7791219 34.0859019,-117.779191 34.0858537,-117.7792499 34.0858229,-117.7793552 34.0858039,-117.779485 34.0856983,-117.7795487 34.0855654,-117.7796568 34.0855032,-117.7797888 34.0854335,-117.7799993 34.0852384,-117.780096 34.0850763,-117.780195 34.084901,-117.7801996 34.0847568,-117.7803817 34.0846899,-117.7804249 34.0845353,-117.7804511 34.0844203,-117.7805 34.0842884,-117.7804022 34.0841527,-117.7803726 34.084114,-117.7803736 34.0840328),(-117.7803403 34.0840509,-117.7803258 34.0840565,-117.7802966 34.0840592,-117.7802829 34.0840562,-117.780259 34.0840382,-117.7802273 34.0840062,-117.78019 34.0839654,-117.7801586 34.0839287,-117.7801375 34.0838985,-117.7801323 34.0838708,-117.7801351 34.0838483,-117.7801511 34.0838309,-117.7801762 34.0838161,-117.7802039 34.083807,-117.780226 34.0838002,-117.7802503 34.0837995,-117.780271 34.0838012,-117.7802945 34.0838078,-117.7803159 34.083817,-117.7803368 34.0838296,-117.7803567 34.0838546,-117.7803761 34.083897,-117.7803809 34.0839284,-117.7803808 34.0839601,-117.7803753 34.083993,-117.7803599 34.0840307,-117.7803403 34.0840509)))","10",r16389481,"16389481",relation,fairway,multipolygon,fairway,Fairways,"11","/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
