WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((-71.77009528842883 474.8260377002498, -63.92381768282511 465.74023677328796, -53.78645838415214 452.17959890356724, -47.45553022685582 440.20052118196645, -46.34457501962367 417.58166004972054, -43.59788554691825 399.94179650110254, -40.20117994194729 377.8045276681519, -34.00705919754579 356.2797406895288, -28.843952502901818 337.3988512879191, -25.006017054701786 319.9311928877887, -21.54325020131765 305.6380631649813, -15.402052542985341 292.4416639192873, -13.077738010998706 283.1894156056137, -11.082474940301545 275.5689310228081, -16.090264585434483 255.19293107819522, -19.25783314586095 238.6126100317938, -19.00035392580925 216.75609305457783, -20.63010831120783 186.46828958500691, -19.716460446583532 165.73547357819734, -15.747807844020182 153.4404763856287, -8.2690716579956 151.321116846309, -4.084716431108133 152.7553350855169, 1.1477050385656389 157.893357490575, 4.989147881117244 169.53835221248482, 8.247600550359232 187.3584533123244, 12.300901304158149 210.21267800562327, 13.703991132164687 224.79661235174035, 17.15935377842539 244.5367614174188, 18.131993794723677 260.62721201441036, 18.079580659612088 273.29284422119144, 16.571664561382377 284.04017429208807, 14.979596133780442 291.1612644740899, 12.658099350552304 307.8518780594186, 6.172066952060406 329.9990610567579, 1.260397343617907 351.0841811669934, -4.64027483141728 371.40543678258155, -9.741674941682486 391.27323536699805, -14.882012704560717 413.38652533788945, -23.242140549017602 443.2749486876719, -31.037175473106153 461.3574707341854, -34.97445534022966 468.8631220300613, -37.182746780058594 486.9367299643591, -47.794314887425685 513.5430491925126, -54.50233399393228 527.4366628638313, -63.62407708259937 547.5135512509655, -73.09512701774973 553.5950082877025, -81.70936620502978 557.096862149042, -84.50966840939745 561.3908255819297, -82.11699675052067 568.7310583324984, -81.95444238443201 574.501986370401, -82.01155015088308 577.4188923281918, -85.57886821239939 589.2025605959043, -88.72954484960798 593.4154883489714, -92.70996382882981 595.4567228080782, -98.55521614889796 592.7563697289224, -102.44481812857128 586.8436784300616, -104.08779412730414 579.9138962045868, -103.8531650759501 572.8170103749812, -95.83274642652276 562.4188568445766, -89.27033236317351 556.8499745322492, -89.5107262750871 538.6283658035859, -89.07506967845818 529.6693039001002, -86.1576865094168 504.39100920155397, -76.46347940979662 484.9007681696821, -71.77009528842883 474.8260377002498), (-87.10348726703808 561.3623001059887, -88.73451498470664 560.4848076167809, -95.52141737903055 564.5476939570494, -100.36012176762307 570.9977251325222, -102.06694923157421 575.0185298514134, -101.88185817114788 581.328052094218, -101.47304966227188 585.4613141755885, -98.8287757904619 588.5058781825796, -94.35647327176176 592.2472461434313, -92.13327451688487 592.4588360791699, -89.24920542655148 589.9499844632533, -86.77657097274647 587.5593277179996, -85.04413298676455 582.9148465257276, -83.64176150563715 579.1732877244726, -82.60380021811169 574.5383102282767, -82.83708397243726 569.364238496778, -83.96076805710034 566.3572585435577, -87.10348726703808 561.3623001059887)))",1.0,r16389190,16389190,relation,fairway,multipolygon,fairway,Fairways,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-55.81062038242014 563.2360114306539, -55.752224717224685 554.7457373177849, -56.99076364879002 542.7935607861582, -62.5853259251045 527.3207399678176, -65.81146013437895 517.784944875184, -68.19971973379594 510.60435265282877, -69.51954776701487 501.41393325768377, -72.5988919059144 485.7279963067367, -75.12076058584071 470.33554055790773, -78.81649065392862 450.5635044360065, -78.34544662513052 440.7808302535909, -77.24107220113356 441.23426702771894, -77.86910220777034 450.9290379024105, -73.77586553546745 469.9681861009799, -71.79903571708735 485.21262079667395, -68.570945596641 500.60526152520424, -67.23889642574908 509.54576115996133, -64.89740033483241 517.0829786041099, -61.49611003816929 526.0352624348775, -55.726805812011996 542.4322386276185, -54.36954348324908 554.5551548768185, -54.694178026728615 564.2922067420272, -55.81062038242014 563.2360114306539)))",19.0,w1211363242,1211363242,way,water_hazard,multipolygon,water_hazard,Fairways,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-3.5673839629851813 19.291767038305352, -4.553935236781468 4.885049831573269, -4.147647779978053 -16.016705164506675, -3.327273061760789 -23.098390307391128, 2.083854718604182 -19.96575827001834, 4.685243351768145 -9.447730681183657, 4.134957081832582 6.852809774150046, 4.9773276395202615 20.85978543733063, -3.5673839629851813 19.291767038305352)))",85.0,w1208043411,1208043411,way,tee,multipolygon,tee,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-9.542486304099734 71.96860034705651, -10.350280934182553 62.45177212903627, -8.410684523784266 51.322147054761444, -3.6062112385707277 51.21911236018377, -2.952929660364619 57.249258616079715, -2.4741864930006225 68.39785056496794, -4.914014169046055 73.16598373014358, -9.542486304099734 71.96860034705651)))",86.0,w1208043412,1208043412,way,green,multipolygon,green,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-27.08679497114192 282.87528833766373, -28.11726330625268 272.9147669213671, -26.93893731726806 262.8107508104995, -23.545063590149848 260.42085423074013, -21.444552599036285 263.39125018753975, -20.165986798193423 269.42761371807364, -18.18388793968777 278.4675609733381, -17.43122132194821 285.4636984759054, -19.762227014197514 288.10639076227517, -22.374079553083767 285.5981751084596, -27.08679497114192 282.87528833766373)))",87.0,w1208043413,1208043413,way,bunker,multipolygon,bunker,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-87.10348726703808 561.3623001059887, -88.73451498470664 560.4848076167809, -95.52141737903055 564.5476939570494, -100.36012176762307 570.9977251325222, -102.06694923157421 575.0185298514134, -101.88185817114788 581.328052094218, -101.47304966227188 585.4613141755885, -98.8287757904619 588.5058781825796, -94.35647327176176 592.2472461434313, -92.13327451688487 592.4588360791699, -89.24920542655148 589.9499844632533, -86.77657097274647 587.5593277179996, -85.04413298676455 582.9148465257276, -83.64176150563715 579.1732877244726, -82.60380021811169 574.5383102282767, -82.83708397243726 569.364238496778, -83.96076805710034 566.3572585435577, -87.10348726703808 561.3623001059887)))",88.0,w1208043415,1208043415,way,green,multipolygon,green,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-80.11326365444458 585.7240960127638, -79.4783892815667 581.7862028711943, -77.43989614513896 577.5293986274232, -77.42033040553824 571.4823058565776, -79.66227147326892 566.3568278164757, -79.74421181253462 559.9867976169912, -76.0896004832566 559.8608043695708, -73.95480805717115 563.3794832035983, -72.77774833090666 569.0929093054933, -70.8011556083048 573.6978900341319, -71.12193351795426 580.3077062017064, -72.21632749424145 585.696934682519, -73.87920434152994 589.8683965175405, -78.44570895492006 589.0029339734497, -79.97561603712873 586.6072508444086, -80.11326365444458 585.7240960127638)))",89.0,w1208043416,1208043416,way,bunker,multipolygon,bunker,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-103.10363718825903 550.2431963689719, -101.5263250780676 545.5227463964798, -97.88159838737563 545.3989989973343, -93.74096153972275 549.3763664847916, -91.98636744445952 551.3749990402539, -92.48757534140269 556.8271663057226, -96.44999419472707 556.7512380344124, -99.33364914322658 557.7524230140625, -100.9233068986421 560.226676339837, -100.72713425165888 563.061321077023, -100.24504439999306 566.7454328526992, -103.1078527739799 569.7190256705744, -105.78211567622029 571.7353505135907, -109.41081007151064 569.5323107027184, -113.70955566901488 564.5405086121377, -116.10582302872498 559.6725232205699, -111.96720434601954 556.5449868651262, -107.745680614935 553.6210426960724, -103.10363718825903 550.2431963689719)))",90.0,w1208043417,1208043417,way,bunker,multipolygon,bunker,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-20.525581190399574 126.32852222992256, -16.911362263949925 114.25932674055844, -12.53220308281244 96.22588904665804, -10.674130472031264 88.34032386468493, -8.823310737491662 83.31872174389332, -6.758588865876173 80.44865655637182, -3.6702506301451137 76.96928328312083, 0.5780630661805972 75.20240052911845, 6.17897198326279 75.73322704311181, 11.99677901975631 77.3504494490237, 17.237316316177974 79.00019625214668, 23.89035377171456 77.34687784644734, 29.09749888756073 74.8861007734888, 34.191279271501664 71.06119125471992, 39.96919444164353 64.59994891872498, 46.71542620774674 54.92880198501666, 47.26330470011838 56.49824848490766, 40.6298250438312 65.46815525158877, 34.67389866723105 72.14383062993988, 29.44042752104114 75.97301340812805, 23.828321438428887 78.56684920169869, 17.409717401892202 80.20949838923457, 11.658881452559495 78.47043108609, 5.551548935404324 76.75800895895577, 0.5526161091982473 76.54367217638651, -3.218491097320356 77.89284695096853, -6.050800933949191 81.38974641368009, -8.12740182820498 84.4875254360943, -9.710360297206286 88.74455600719898, -11.82928466831018 96.90042830578136, -15.893853254301114 114.39434098207244, -19.459133626901238 126.75934382690798, -20.525581190399574 126.32852222992256)))",20.0,w1211363243,1211363243,way,water_hazard,multipolygon,water_hazard,Fairways,2,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((22.41529677439431 218.47606900790765, 25.040401373115802 213.8714909436669, 28.89665066871919 213.64597073363825, 32.07683838008614 217.75292046854133, 30.73370315861959 223.22243722399548, 26.82347165430761 226.08687396830533, 22.73445477401865 225.1600274668874, 22.41529677439431 218.47606900790765)))",95.0,w1208043422,1208043422,way,bunker,multipolygon,bunker,Greens and bunks,2,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
