WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((-117.77596284216371 34.08564381218875, -117.77588483289253 34.08556899498744, -117.77578404522603 34.08545732965584, -117.77572110186406 34.08535868771149, -117.77571005652379 34.085172432267385, -117.77568274838423 34.085027176474, -117.77564897765345 34.08484488671088, -117.77558739445831 34.084667640441296, -117.77553606181237 34.084512165396816, -117.77549790428569 34.08436832763002, -117.77546347676068 34.08425063058026, -117.77540241973752 34.08414196457856, -117.77537931093462 34.08406577676307, -117.77535947362759 34.08400302573719, -117.77540926208016 34.08383523917638, -117.77544075468433 34.08369870820597, -117.7754381947741 34.083518730299375, -117.77545439812022 34.083269324803084, -117.77544531444926 34.083098600033594, -117.77540585730631 34.08299735664433, -117.7753315022059 34.08297990473771, -117.77528990050405 34.0829917148352, -117.77523787871667 34.083034023978854, -117.77519968631876 34.08312991491036, -117.77516729012649 34.0832766548733, -117.77512699139459 34.08346484842315, -117.77511304159312 34.083584940109134, -117.77507868768222 34.08374749074373, -117.77506901749942 34.08387998786657, -117.77506953860136 34.08398428325694, -117.7750845306067 34.084072782351726, -117.77510035927145 34.08413142110487, -117.77512344005972 34.0842688602813, -117.77518792549927 34.08445123168279, -117.77523675830709 34.08462485750715, -117.77529542397748 34.08479219327474, -117.77534614312414 34.084955795041736, -117.77539724939678 34.085137887350456, -117.77548036747045 34.08538400414352, -117.77555786727658 34.08553290501676, -117.77559701250547 34.08559471044575, -117.77561896778343 34.08574353791556, -117.77572447012935 34.085962628159535, -117.77579116260543 34.08607703538674, -117.77588185281115 34.08624235890771, -117.77597601589585 34.08629243678186, -117.77606166039564 34.08632127286438, -117.77608950156377 34.0863566315883, -117.77606571314057 34.086417074875115, -117.77606409699234 34.08646459569229, -117.77606466476925 34.086488615010126, -117.77610013176341 34.08658564785159, -117.77613145642468 34.08662033928566, -117.77617103055131 34.08663714786981, -117.77622914522635 34.08661491176079, -117.7762678164321 34.08656622359133, -117.77628415123016 34.08650916016721, -117.7762818185009 34.08645072072527, -117.77620207788442 34.086365096931374, -117.77613683304298 34.086319239863585, -117.77613922308764 34.0861691936784, -117.77613489170207 34.086095420112, -117.77610588649142 34.08588726551139, -117.77600950473328 34.08572677274927, -117.77596284216371 34.08564381218875), (-117.77611528983292 34.086356396694725, -117.77613150583876 34.08634917096606, -117.77619898258837 34.086382626881246, -117.77624708996129 34.08643573978618, -117.77626405958347 34.086468849179454, -117.77626221937089 34.0865208050609, -117.77625815491442 34.08655484048647, -117.77623186501137 34.08657991100695, -117.77618740047959 34.0866107193729, -117.7761652969901 34.08661246171427, -117.77613662299473 34.08659180252771, -117.77611203956532 34.08657211661907, -117.77609481531817 34.08653387154996, -117.77608087265865 34.08650306161253, -117.77607055303862 34.08646489480179, -117.77607287239266 34.086422288809274, -117.776084044286 34.086397527775404, -117.77611528983292 34.086356396694725)))",1.0,r16389190,16389190,relation,fairway,multipolygon,fairway,Fairways,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.77580416985202 34.086371825806424, -117.77580358927057 34.08630191248204, -117.7758159030739 34.08620349205606, -117.77587152533808 34.086076080817435, -117.77590360021371 34.08599755813057, -117.77592734477133 34.08593842940674, -117.77594046676728 34.085862750722654, -117.77597108222649 34.085733584575166, -117.77599615515248 34.085606835104244, -117.77603289884466 34.08544402189507, -117.77602821563012 34.08536346627763, -117.77601723571732 34.085367200111406, -117.77602347971805 34.085447031887384, -117.7759827839352 34.08560381011695, -117.77596312989527 34.08572934070568, -117.77593103557358 34.085856091699824, -117.77591779207262 34.08592971241487, -117.77589451244721 34.0859917777759, -117.7758606961345 34.08606549552813, -117.7758033365507 34.08620051674184, -117.77578984237545 34.08630034312729, -117.77579306995742 34.08638052306689, -117.77580416985202 34.086371825806424)))",19.0,w1211363242,1211363242,way,water_hazard,multipolygon,water_hazard,Fairways,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.77528475708053 34.08189270653442, -117.77529456557185 34.08177407414635, -117.77529052618019 34.08160195824553, -117.77528236984962 34.08154364397393, -117.77522857132813 34.08156943969229, -117.77520270779875 34.081656050591405, -117.7752081788556 34.08179027770319, -117.77519980383798 34.08190561841188, -117.77528475708053 34.08189270653442)))",85.0,w1208043411,1208043411,way,tee,multipolygon,tee,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.77534416275061 34.08232647492464, -117.77535219400741 34.08224810842087, -117.77533291014952 34.082156461310575, -117.77528514310912 34.082155612869414, -117.77527864805218 34.08220526822396, -117.77527388829125 34.082297071517345, -117.77529814554907 34.082336334800985, -117.77534416275061 34.08232647492464)))",86.0,w1208043412,1208043412,way,green,multipolygon,green,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.77551859179853 34.08406319007608, -117.77552883692212 34.08398116997219, -117.77551712176798 34.0838979682585, -117.7754833791923 34.083878288609455, -117.77546249548925 34.08390274839171, -117.77544978373072 34.08395245494252, -117.77543007730493 34.08402689456089, -117.77542259414193 34.08408450438881, -117.77544576946968 34.08410626568893, -117.77547173703331 34.08408561173921, -117.77551859179853 34.08406319007608)))",87.0,w1208043413,1208043413,way,bunker,multipolygon,bunker,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.77611528983292 34.086356396694725, -117.77613150583876 34.08634917096606, -117.77619898258837 34.086382626881246, -117.77624708996129 34.08643573978618, -117.77626405958347 34.086468849179454, -117.77626221937089 34.0865208050609, -117.77625815491442 34.08655484048647, -117.77623186501137 34.08657991100695, -117.77618740047959 34.0866107193729, -117.7761652969901 34.08661246171427, -117.77613662299473 34.08659180252771, -117.77611203956532 34.08657211661907, -117.77609481531817 34.08653387154996, -117.77608087265865 34.08650306161253, -117.77607055303862 34.08646489480179, -117.77607287239266 34.086422288809274, -117.776084044286 34.086397527775404, -117.77611528983292 34.086356396694725)))",88.0,w1208043415,1208043415,way,green,multipolygon,green,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.77604579162283 34.08655700436853, -117.77603947957404 34.086524577712225, -117.77601921246499 34.08648952497636, -117.77601901793847 34.08643973007541, -117.7760413077678 34.08639752422857, -117.77604212243514 34.0863450700932, -117.77600578755374 34.0863440325994, -117.77598456301777 34.08637300722748, -117.77597286045307 34.086420054543865, -117.77595320877039 34.08645797434565, -117.77595639800893 34.086512403003155, -117.77596727869411 34.08655678070804, -117.77598381135041 34.08659113069021, -117.77602921245838 34.086584004022356, -117.77604442310252 34.08656427672386, -117.77604579162283 34.08655700436853)))",89.0,w1208043416,1208043416,way,bunker,multipolygon,bunker,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.77627436654379 34.08626483622258, -117.77625868458932 34.086225965587104, -117.77622244798299 34.08622494658678, -117.77618128093806 34.08625769829534, -117.77616383641042 34.0862741560733, -117.77616881952021 34.08631905204881, -117.77620821468597 34.08631842681601, -117.77623688456386 34.08632667109285, -117.77625268926121 34.08634704537913, -117.77625073887327 34.08637038731537, -117.77624594583894 34.08640072420417, -117.77627440845599 34.086425210311035, -117.77630099651601 34.086441813776474, -117.77633707372604 34.086423672803065, -117.77637981271998 34.086382567713386, -117.77640363689237 34.08634248219468, -117.77636248991244 34.08631672843681, -117.77632051867384 34.086292651162694, -117.77627436654379 34.08626483622258)))",90.0,w1208043417,1208043417,way,bunker,multipolygon,bunker,Greens and bunks,1,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.78010656442768 34.08064022654868, -117.78007063204109 34.08054084252785, -117.78002709465615 34.08039234584065, -117.78000862178975 34.08032741200351, -117.77999022103108 34.080286061524916, -117.77996969366791 34.0802624279183, -117.77993898956124 34.08023377695261, -117.77989675303567 34.08021922752282, -117.77984106907502 34.08022359862389, -117.77978322872394 34.080236915672685, -117.7797311275602 34.08025050054425, -117.77966498338942 34.080236886262256, -117.77961321420909 34.08021662294644, -117.77956257209534 34.080185126655934, -117.77950512834724 34.08013192143248, -117.77943805764322 34.0800522841883, -117.77943261066223 34.080065207825484, -117.77949856039032 34.080139070694116, -117.77955777391708 34.08019404167055, -117.7796098048295 34.08022557314929, -117.77966560011183 34.08024693213969, -117.77972941355709 34.0802604585658, -117.77978658808492 34.08024613818287, -117.77984730688407 34.08023203721015, -117.77989700602807 34.08023027224982, -117.77993449819022 34.08024138205528, -117.77996265687514 34.08027017734071, -117.77998330233898 34.08029568606125, -117.77999904003413 34.08033074066081, -117.78002010627588 34.080397900347066, -117.78006051601662 34.080541954305204, -117.78009596185852 34.08064377415735, -117.78010656442768 34.08064022654868)))",20.0,w1211363243,1211363243,way,water_hazard,multipolygon,water_hazard,Fairways,2,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-117.77967964833346 34.08139901728302, -117.7796535496728 34.08136110079698, -117.7796152110322 34.081359243746505, -117.77958359376257 34.081393062502556, -117.7795969471468 34.08143810134277, -117.77963582247587 34.08146168860186, -117.77967647528034 34.08145405646664, -117.77967964833346 34.08139901728302)))",95.0,w1208043422,1208043422,way,bunker,multipolygon,bunker,Greens and bunks,2,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
