WKT,full_id,osm_id,osm_type,golf,layer,bridge,ref,par,handicap:women,handicap,highway,golf_cart,access
"LINESTRING (-117.7752547 34.0817334,-117.7774935 34.0813121,-117.7787085 34.0807366,-117.779724 34.0799802)",w1207884595,"1207884595",way,hole,,,"1","5","1","7",,,
"LINESTRING (-117.77991 34.0795796,-117.7803301 34.0798106,-117.7819031 34.0806755,-117.7828714 34.0810013)",w1207884596,"1207884596",way,hole,,,"2","4","3","9",,,
"LINESTRING (-117.7832018 34.0812003,-117.781833 34.0823869,-117.7808371 34.0830883)",w1207884597,"1207884597",way,hole,,,"3","4",,"11",,,
"LINESTRING (-117.7809536 34.0824745,-117.7791344 34.0840803,-117.7782751 34.0846956)",w1207884598,"1207884598",way,hole,,,"4","4","13","3",,,
"LINESTRING (-117.7777292 34.0846518,-117.7786136 34.0827952,-117.779707 34.0815542)",w1207884599,"1207884599",way,hole,,,"5","4","5","1",,,
"LINESTRING (-117.7802252 34.0815414,-117.7794355 34.0826556)",w1207884600,"1207884600",way,hole,,,"6","3","15","13",,,
"LINESTRING (-117.7797734 34.0828671,-117.7811687 34.0817599,-117.7823935 34.0813303)",w1207884601,"1207884601",way,hole,,,"7","4","9","5",,,
"LINESTRING (-117.7818148 34.0809944,-117.7797267 34.0809042,-117.7781713 34.0817327,-117.7771954 34.0822483)",w1207884602,"1207884602",way,hole,,,"8","5","7","17",,,
"LINESTRING (-117.7771711 34.0826175,-117.7757428 34.0820871)",w1207884603,"1207884603",way,hole,,,"9","3","17","15",,,
"LINESTRING (-117.7748559 34.0827898,-117.776191 34.0843209,-117.7767845 34.0853748)",w1207884604,"1207884604",way,hole,,,"10","4","12","8",,,
"LINESTRING (-117.776943 34.0857132,-117.7774564 34.0857518,-117.7787158 34.0858464,-117.7801117 34.0849344,-117.7802963 34.0839215)",w1207884605,"1207884605",way,hole,,,"11","5","2","10",,,
"LINESTRING (-117.7804272 34.0834478,-117.7813789 34.0853967,-117.7815477 34.0862941)",w1207884606,"1207884606",way,hole,,,"12","4","10","14",,,
"LINESTRING (-117.7823859 34.085803,-117.7844366 34.0853007)",w1207884607,"1207884607",way,hole,,,"13","3","18","2",,,
"LINESTRING (-117.7851567 34.0854011,-117.7855467 34.087112,-117.78633 34.0879107)",w1207884608,"1207884608",way,hole,,,"14","4","10","14",,,
"LINESTRING (-117.7865971 34.0882478,-117.7839795 34.0882038,-117.7827622 34.0877884,-117.781833 34.0878011)",w1207884609,"1207884609",way,hole,,,"15","5","4","16",,,
"LINESTRING (-117.7816717 34.0881462,-117.7798773 34.0871971,-117.7796152 34.086192)",w1207884610,"1207884610",way,hole,,,"16","4","8","18",,,
"LINESTRING (-117.7790687 34.0864024,-117.7775874 34.0861198)",w1207884611,"1207884611",way,hole,,,"17","3","16","12",,,
"LINESTRING (-117.7765355 34.0856695,-117.7753883 34.0842733,-117.774635 34.0831344)",w1207884612,"1207884612",way,hole,,,"18","4",,"6",,,
