x,y,lie,V
-20,173,fairway,inf
-20,174,fairway,inf
-20,175,fairway,inf
-20,176,fairway,inf
-20,177,fairway,inf
-20,178,fairway,inf
-20,179,fairway,inf
-19,164,fairway,inf
-19,165,fairway,inf
-19,166,fairway,inf
-19,167,fairway,inf
-19,168,fairway,inf
-19,169,fairway,inf
-19,170,fairway,inf
-19,171,fairway,inf
-19,172,fairway,inf
-19,173,fairway,inf
-19,174,fairway,inf
-19,175,fairway,inf
-19,176,fairway,inf
-19,177,fairway,inf
-19,178,fairway,inf
-19,179,fairway,inf
-18,161,fairway,inf
-18,162,fairway,inf
-18,163,fairway,inf
-18,164,fairway,inf
-18,165,fairway,inf
-18,166,fairway,inf
-18,167,fairway,inf
-18,168,fairway,inf
-18,169,fairway,inf
-18,170,fairway,inf
-18,171,fairway,inf
-18,172,fairway,inf
-18,173,fairway,inf
-18,174,fairway,inf
-18,175,fairway,inf
-18,176,fairway,inf
-18,177,fairway,inf
-18,178,fairway,inf
-18,179,fairway,inf
-17,158,fairway,inf
-17,159,fairway,inf
-17,160,fairway,inf
-17,161,fairway,inf
-17,162,fairway,inf
-17,163,fairway,inf
-17,164,fairway,inf
-17,165,fairway,inf
-17,166,fairway,inf
-17,167,fairway,inf
-17,168,fairway,inf
-17,169,fairway,inf
-17,170,fairway,inf
-17,171,fairway,inf
-17,172,fairway,inf
-17,173,fairway,inf
-17,174,fairway,inf
-17,175,fairway,inf
-17,176,fairway,inf
-17,177,fairway,inf
-17,178,fairway,inf
-17,179,fairway,inf
-16,155,fairway,inf
-16,156,fairway,inf
-16,157,fairway,inf
-16,158,fairway,inf
-16,159,fairway,inf
-16,160,fairway,inf
-16,161,fairway,inf
-16,162,fairway,inf
-16,163,fairway,inf
-16,164,fairway,inf
-16,165,fairway,inf
-16,166,fairway,inf
-16,167,fairway,inf
-16,168,fairway,inf
-16,169,fairway,inf
-16,170,fairway,inf
-16,171,fairway,inf
-16,172,fairway,inf
-16,173,fairway,inf
-16,174,fairway,inf
-16,175,fairway,inf
-16,176,fairway,inf
-16,177,fairway,inf
-16,178,fairway,inf
-16,179,fairway,inf
-15,154,fairway,inf
-15,155,fairway,inf
-15,156,fairway,inf
-15,157,fairway,inf
-15,158,fairway,inf
-15,159,fairway,inf
-15,160,fairway,inf
-15,161,fairway,inf
-15,162,fairway,inf
-15,163,fairway,inf
-15,164,fairway,inf
-15,165,fairway,inf
-15,166,fairway,inf
-15,167,fairway,inf
-15,168,fairway,inf
-15,169,fairway,inf
-15,170,fairway,inf
-15,171,fairway,inf
-15,172,fairway,inf
-15,173,fairway,inf
-15,174,fairway,inf
-15,175,fairway,inf
-15,176,fairway,inf
-15,177,fairway,inf
-15,178,fairway,inf
-15,179,fairway,inf
-14,153,fairway,inf
-14,154,fairway,inf
-14,155,fairway,inf
-14,156,fairway,inf
-14,157,fairway,inf
